listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
379,0,Manhattan,8,300.0,3.67
380,0,Queens,4,289.0,5.0
381,0,Manhattan,1,300.0,5.0
382,1,Brooklyn,2,186.0,5.0
383,0,Manhattan,2,145.0,1.0
384,0,Queens,2,50.0,4.89
385,0,Brooklyn,3,82.0,5.0
386,1,Brooklyn,2,202.0,4.81
387,0,Manhattan,4,142.0,5.0
388,0,Brooklyn,2,124.0,4.87
389,0,Manhattan,2,160.0,5.0
390,1,Manhattan,7,489.0,5.0
391,1,Manhattan,3,472.0,4.9
392,1,Manhattan,4,175.0,4.82
393,0,Brooklyn,7,90.0,4.8
394,1,Manhattan,2,177.0,5.0
395,1,Brooklyn,2,55.0,5.0
396,0,Brooklyn,1,60.0,5.0
397,1,Manhattan,5,510.0,4.82
398,1,Manhattan,3,265.0,4.96
399,1,Manhattan,1,71.0,5.0
400,1,Brooklyn,3,130.0,4.67
401,1,Manhattan,3,226.0,5.0
402,0,Brooklyn,2,99.0,4.56
403,1,Manhattan,2,195.0,4.87
404,1,Manhattan,2,300.0,4.87
405,0,Manhattan,5,154.0,4.4
406,0,Manhattan,2,120.0,4.77
407,1,Brooklyn,5,211.0,4.85
408,1,Brooklyn,2,75.0,4.85
409,0,Manhattan,4,164.0,4.8
410,0,Brooklyn,7,60.0,4.2
411,1,Manhattan,2,220.0,4.85
412,0,Manhattan,3,170.0,5.0
413,0,Manhattan,3,181.0,4.5
414,0,Queens,1,37.0,4.5
415,0,Manhattan,5,218.0,5.0
416,0,Manhattan,4,216.0,4.67
417,0,Manhattan,5,324.0,4.62
418,0,Manhattan,3,83.0,2.67
419,0,Brooklyn,6,100.0,4.98
420,0,Queens,2,114.0,4.84
421,0,Manhattan,4,439.0,3.94
422,0,Queens,4,100.0,4.68
423,1,Queens,2,106.0,4.89
424,0,Queens,4,120.0,4.63
425,0,Queens,2,130.0,4.72
426,0,Queens,2,575.0,4.0
427,1,Queens,1,60.0,4.67
428,1,Queens,2,168.0,4.96
429,0,Staten Island,4,215.0,4.89
430,0,Staten Island,3,118.0,5.0
431,1,Manhattan,3,149.0,4.92
432,0,Brooklyn,2,158.0,4.82
433,0,Brooklyn,2,160.0,4.72
434,0,Manhattan,2,89.0,3.13
435,0,Queens,1,95.0,4.67
436,0,Brooklyn,4,190.0,5.0
437,0,Queens,6,414.0,4.91
438,1,Manhattan,2,239.0,5.0
439,0,Queens,2,120.0,4.58
440,0,Queens,2,68.0,4.48
441,0,Staten Island,5,185.0,4.82
442,1,Queens,1,65.0,4.75
443,0,Queens,1,37.0,5.0
444,0,Brooklyn,5,500.0,5.0
445,0,Manhattan,3,200.0,4.9
446,1,Manhattan,2,225.0,4.49
447,0,Queens,4,100.0,4.91
448,0,Brooklyn,2,165.0,5.0
449,0,Queens,1,45.0,4.67
450,0,Brooklyn,2,297.0,5.0
451,0,Brooklyn,4,146.0,4.52
452,1,Brooklyn,1,120.0,4.96
453,1,Staten Island,2,72.0,4.88
454,0,Brooklyn,2,165.0,5.0
455,0,Brooklyn,8,241.0,5.0
456,0,Brooklyn,4,300.0,4.67
457,0,Queens,1,42.0,5.0
458,0,Brooklyn,2,155.0,4.18
459,0,Manhattan,2,105.0,4.38
460,1,Manhattan,4,100.0,4.64
461,0,Manhattan,2,90.0,3.92
462,1,Manhattan,1,58.0,5.0
463,1,Bronx,2,250.0,4.8
464,1,Queens,6,179.0,4.77
465,0,Brooklyn,2,162.0,4.9
466,0,Queens,1,46.0,4.85
467,0,Brooklyn,4,255.0,5.0
468,1,Queens,2,116.0,4.83
469,0,Brooklyn,3,99.0,5.0
470,0,Queens,1,60.0,4.66
471,1,Queens,6,220.0,4.97
472,0,Manhattan,3,250.0,4.0
473,1,Brooklyn,3,145.0,4.93
474,0,Brooklyn,1,60.0,4.67
475,0,Manhattan,1,79.0,4.43
476,0,Manhattan,5,169.0,3.5
477,0,Manhattan,2,149.0,5.0
478,1,Queens,6,165.0,4.93
479,0,Manhattan,3,90.0,4.78
480,0,Brooklyn,6,83.0,5.0
481,1,Brooklyn,2,275.0,4.95
482,0,Brooklyn,2,79.0,4.0
483,0,Brooklyn,2,204.0,4.71
484,0,Brooklyn,1,60.0,4.82
485,1,Brooklyn,4,150.0,4.82
486,0,Brooklyn,3,132.0,4.85
487,1,Manhattan,2,200.0,5.0
488,1,Brooklyn,4,121.0,5.0
489,1,Brooklyn,5,711.0,4.92
490,1,Brooklyn,4,145.0,4.86
491,0,Manhattan,4,680.0,5.0
492,0,Manhattan,2,96.0,4.33
493,1,Manhattan,4,674.0,4.86
494,1,Manhattan,2,182.0,5.0
495,0,Brooklyn,1,55.0,5.0
496,0,Manhattan,12,356.0,4.27
497,1,Manhattan,2,195.0,5.0
498,0,Manhattan,4,576.0,4.6
499,1,Brooklyn,3,155.0,4.81
500,1,Brooklyn,2,154.0,4.92
501,0,Manhattan,2,100.0,4.67
502,0,Brooklyn,2,95.0,4.93
503,1,Manhattan,5,265.0,4.92
504,1,Manhattan,2,180.0,5.0
505,0,Manhattan,4,663.0,4.78
506,0,Brooklyn,6,182.0,4.7
507,0,Manhattan,2,116.0,4.43
508,1,Manhattan,2,300.0,4.98
509,0,Manhattan,1,98.0,4.8
510,0,Manhattan,2,92.0,4.8
511,0,Manhattan,2,105.0,4.62
512,1,Brooklyn,2,120.0,4.71
513,1,Manhattan,2,97.0,4.92
514,1,Manhattan,2,129.0,4.88
515,0,Manhattan,4,250.0,5.0
516,0,Manhattan,3,255.0,4.45
517,0,Manhattan,2,343.0,5.0
518,0,Queens,10,181.0,4.65
519,0,Manhattan,4,176.0,5.0
520,0,Manhattan,1,49.0,3.33
521,0,Manhattan,2,368.0,4.6
